city,date,rate,state
Agartala,27-10-2012,46.93,Tripura
Agartala,18-01-2013,47.45,Tripura
Agartala,16-02-2013,47.96,Tripura
Agartala,23-03-2013,47.46,Tripura
Agartala,01-04-2013,48.47,Tripura
Agartala,11-05-2013,49.54,Tripura
Agartala,01-06-2013,50.11,Tripura
Agartala,02-07-2013,50.69,Tripura
Agartala,01-08-2013,51.26,Tripura
Agartala,01-09-2013,51.83,Tripura
Agartala,01-10-2013,52.4,Tripura
Agartala,01-11-2013,52.97,Tripura
Agartala,01-12-2013,53.54,Tripura
Agartala,21-12-2013,53.64,Tripura
Agartala,04-01-2014,54.21,Tripura
Agartala,01-02-2014,54.78,Tripura
Agartala,01-03-2014,55.36,Tripura
Agartala,13-05-2014,56.6,Tripura
Agartala,01-06-2014,57.17,Tripura
Agartala,01-07-2014,57.75,Tripura
Agartala,01-08-2014,58.32,Tripura
Agartala,31-08-2014,58.89,Tripura
Agartala,19-10-2014,55.49,Tripura
Agartala,01-11-2014,52.21,Tripura
Agartala,01-12-2014,52.37,Tripura
Agartala,16-12-2014,50.35,Tripura
Agartala,17-01-2015,48.07,Tripura
Agartala,04-02-2015,45.8,Tripura
Agartala,16-02-2015,46.42,Tripura
Agartala,01-03-2015,49.54,Tripura
Agartala,02-04-2015,48.32,Tripura
Agartala,15-04-2015,47.01,Tripura
Agartala,01-05-2015,49.4,Tripura
Agartala,16-05-2015,52.13,Tripura
Agartala,16-06-2015,50.77,Tripura
Agartala,01-07-2015,50.05,Tripura
Agartala,15-07-2015,47.77,Tripura
Agartala,01-08-2015,44.25,Tripura
Agartala,15-08-2015,43.11,Tripura
Agartala,01-09-2015,42.62,Tripura
Agartala,01-09-2015,42.62,Tripura
Agartala,01-10-2015,43.11,Tripura
Agartala,16-10-2015,44.04,Tripura
Agartala,01-11-2015,44.06,Tripura
Agartala,16-11-2015,44.91,Tripura
Agartala,01-12-2015,44.67,Tripura
Agartala,16-12-2015,44.21,Tripura
Agartala,01-01-2016,43.19,Tripura
Agartala,15-01-2016,42.36,Tripura
Agartala,01-02-2016,42.33,Tripura
Agartala,17-02-2016,42.6,Tripura
Agartala,09-03-2016,44.01,Tripura
Agartala,17-03-2016,45.84,Tripura
Agartala,05-04-2016,46.78,Tripura
Agartala,16-04-2016,45.53,Tripura
Agartala,01-05-2016,48.36,Tripura
Agartala,17-05-2016,49.58,Tripura
Agartala,01-06-2016,51.78,Tripura
Agartala,15-06-2016,53.01,Tripura
Agartala,16-06-2016,50.52,Tripura
Agartala,06-11-2016,54.27,Tripura
Agartala,16-11-2016,52.61,Tripura
Agartala,16-04-2017,55.04,Tripura
Agartala,20-06-2017,52.3,Tripura
Agartala,22-06-2017,52.27,Tripura
Agartala,23-06-2017,52.19,Tripura
Agartala,27-06-2017,51.88,Tripura
Agartala,28-06-2017,51.87,Tripura
Agartala,04-07-2017,51.76,Tripura
Agartala,07-07-2017,52.12,Tripura
Agartala,11-07-2017,53.02,Tripura
Agartala,13-07-2017,52.97,Tripura
Agartala,14-07-2017,52.94,Tripura
Agartala,18-07-2017,53.31,Tripura
Agartala,20-07-2017,53.32,Tripura
Agartala,21-07-2017,53.29,Tripura
Agartala,25-07-2017,53.22,Tripura
Agartala,28-07-2017,53.3,Tripura
Agartala,31-07-2017,53.76,Tripura
Agartala,02-08-2017,53.9,Tripura
Agartala,04-08-2017,54.35,Tripura
Agartala,08-08-2017,54.96,Tripura
Agartala,09-08-2017,55.02,Tripura
Agartala,10-08-2017,55.04,Tripura
Agartala,11-08-2017,55.21,Tripura
Agartala,16-08-2017,55.57,Tripura
Agartala,17-08-2017,55.6,Tripura
Agartala,18-08-2017,55.5,Tripura
Agartala,22-08-2017,55.27,Tripura
Agartala,24-08-2017,55.28,Tripura
Agartala,29-08-2017,55.24,Tripura
Agartala,31-08-2017,55.28,Tripura
Agartala,01-09-2017,55.35,Tripura
Agartala,05-09-2017,55.67,Tripura
Agartala,07-09-2017,55.8,Tripura
Agartala,08-09-2017,55.99,Tripura
Agartala,12-09-2017,56.9,Tripura
Agartala,14-09-2017,56.92,Tripura
Agartala,15-09-2017,56.98,Tripura
Agartala,20-09-2017,56.97,Tripura
Agartala,21-09-2017,56.87,Tripura
Agartala,26-09-2017,56.86,Tripura
Agartala,28-09-2017,56.88,Tripura
Agartala,29-09-2017,56.96,Tripura
Agartala,04-10-2017,55.12,Tripura
Agartala,06-10-2017,55.18,Tripura
Agartala,10-10-2017,55.23,Tripura
Agartala,11-10-2017,55.26,Tripura
Agartala,13-10-2017,55.24,Tripura
Agartala,18-10-2017,55.1,Tripura
Agartala,25-10-2017,55.38,Tripura
Agartala,26-10-2017,55.43,Tripura
Agartala,31-10-2017,55.91,Tripura
Agartala,01-11-2017,55.99,Tripura
Agartala,02-11-2017,56.09,Tripura
Agartala,03-11-2017,56.19,Tripura
Agartala,07-11-2017,56.51,Tripura
Agartala,09-11-2017,56.56,Tripura
Agartala,14-11-2017,56.59,Tripura
Agartala,15-11-2017,56.57,Tripura
Agartala,16-11-2017,56.56,Tripura
Agartala,21-11-2017,56.58,Tripura
Agartala,22-11-2017,56.55,Tripura
Agartala,24-11-2017,56.58,Tripura
Agartala,28-11-2017,56.61,Tripura
Agartala,30-11-2017,56.63,Tripura
Agartala,01-12-2017,56.64,Tripura
Agartala,06-12-2017,56.69,Tripura
Agartala,08-12-2017,56.68,Tripura
Agartala,12-12-2017,56.59,Tripura
Agartala,13-12-2017,56.57,Tripura
Agartala,14-12-2017,56.58,Tripura
Agartala,15-12-2017,56.62,Tripura
Agartala,21-12-2017,57.08,Tripura
Agartala,22-12-2017,57.14,Tripura
Agartala,27-12-2017,57.6,Tripura
Agartala,28-12-2017,57.68,Tripura
Agartala,29-12-2017,57.77,Tripura
Agartala,02-01-2018,57.97,Tripura
Agartala,01-02-2018,62.25,Tripura
Agartala,05-02-2018,62.27,Tripura
Agartala,06-02-2018,62.35,Tripura
Agartala,08-02-2018,62.28,Tripura
Agartala,09-02-2018,62.25,Tripura
Agartala,12-02-2018,61.77,Tripura
Agartala,13-02-2018,61.65,Tripura
Agartala,15-02-2018,61.48,Tripura
Agartala,16-02-2018,61.19,Tripura
Agartala,19-02-2018,60.62,Tripura
Agartala,20-02-2018,60.48,Tripura
Agartala,21-02-2018,60.49,Tripura
Agartala,22-02-2018,60.48,Tripura
Agartala,23-02-2018,60.4,Tripura
Agartala,26-02-2018,60.36,Tripura
Agartala,27-02-2018,60.34,Tripura
Agartala,01-03-2018,60.44,Tripura
Agartala,05-03-2018,61.06,Tripura
Agartala,06-03-2018,61.13,Tripura
Agartala,08-03-2018,61.08,Tripura
Agartala,09-03-2018,61.05,Tripura
Agartala,12-03-2018,61.04,Tripura
Agartala,13-03-2018,61.02,Tripura
Agartala,15-03-2018,61.04,Tripura
Agartala,16-03-2018,60.98,Tripura
Agartala,19-03-2018,60.9,Tripura
Agartala,20-03-2018,60.97,Tripura
Agartala,22-03-2018,61.05,Tripura
Agartala,23-03-2018,61.18,Tripura
Agartala,26-03-2018,61.81,Tripura
Agartala,27-03-2018,61.92,Tripura
Agartala,29-03-2018,62.06,Tripura
Agartala,02-04-2018,62.81,Tripura
Agartala,03-04-2018,62.94,Tripura
Agartala,05-04-2018,62.96,Tripura
Agartala,09-04-2018,63.04,Tripura
Agartala,10-04-2018,63.07,Tripura
Agartala,12-04-2018,63.04,Tripura
Agartala,13-04-2018,63.07,Tripura
Agartala,16-04-2018,63.29,Tripura
Agartala,19-04-2018,63.37,Tripura
Agartala,20-04-2018,63.41,Tripura
Agartala,23-04-2018,63.84,Tripura
Agartala,24-04-2018,64.01,Tripura
Agartala,15-05-2018,64.5,Tripura
Agartala,16-05-2018,64.71,Tripura
Agartala,17-05-2018,64.92,Tripura
Agartala,18-05-2018,65.2,Tripura
Agartala,21-05-2018,65.92,Tripura
Agartala,22-05-2018,66.17,Tripura
Agartala,23-05-2018,66.43,Tripura
Agartala,24-05-2018,66.61,Tripura
Agartala,25-05-2018,66.83,Tripura
Agartala,26-05-2018,66.97,Tripura
Agartala,27-05-2018,67.13,Tripura
Agartala,28-05-2018,67.23,Tripura
Agartala,29-05-2018,67.37,Tripura
Agartala,31-05-2018,67.31,Tripura
Agartala,01-06-2018,67.26,Tripura
Agartala,02-06-2018,67.18,Tripura
Agartala,04-06-2018,67.04,Tripura
Agartala,05-06-2018,66.95,Tripura
Agartala,06-06-2018,66.87,Tripura
Agartala,07-06-2018,66.81,Tripura
Agartala,08-06-2018,66.66,Tripura
Agartala,09-06-2018,66.37,Tripura
Agartala,10-06-2018,66.2,Tripura
Agartala,11-06-2018,66.07,Tripura
Agartala,12-06-2018,65.99,Tripura
Agartala,17-06-2018,65.92,Tripura
Agartala,21-06-2018,65.84,Tripura
Agartala,23-06-2018,65.79,Tripura
Agartala,24-06-2018,65.74,Tripura
Agartala,25-06-2018,65.69,Tripura
